"Year","TotalPrecipitationMM"
2000,1578.8000000000002
2001,1266.6000000000001
2002,1195.1999999999998
2003,1174.2
2004,1464
2005,1328
2006,1081.3000000000002
2007,1114.7
2008,1443.1
2009,1402.3
2010,1462.1
2011,983
2012,1207.4
2013,1450.1999999999998
2014,1822.6
2015,1031.8
2016,1290.8
2017,2086.3
2018,1237.4
2019,1318.3000000000002
2020,1210.8000000000002
2021,1405.8000000000002
2022,1240.7000000000003
2023,1793.9999999999998
2024,1446.3
